Destigation,Teff,log g,[M/H],M,log L,R,log Lmbol
J005052.11+434533.5,18.2,4.1,-0.3,5.3±1.05,3.01±0.28,2.98±1.49,2.91
J011021.32+574403.7,15.4,4.3,-0.5,3.5±0.75,2.42±0.31,2.1±1.11,2.53
J013314.12+485727.9,17.6,4.2,-0.4,4.6±0.95,2.78±0.3,2.46±1.29,· · ·
J013844.73+375509.9,16.1,4,-0.6,4.3±0.95,2.86±0.32,3.21±1.73,· · ·
J015443.87+550657.5,17.3,4.4,-0.2,4.4±0.95,2.6±0.31,2.05±1.0,3.11
J015749.01+562804.6,26.1,4.4,-0.1,8.5±2.6,3.57±0.44,2.76±1.79,3.97
J015908.99+561810.3,21.5,4.4,-0.2,5.9±1.5,3.04±0.36,2.21±1.3,3.21
J020040.30+542843.4,26.8,4.4,-0.6,8.8±2.5,3.67±0.41,2.93±1.58,3.89
J020439.90+541617.0,17.5,4.1,-0.6,4.7±1.0,2.95±0.3,3.01±1.54,· · ·
J021414.87+543928.8,17.8,4.2,-0.6,4.6±1.0,2.86±0.31,2.61±1.39,· · ·
J022349.58+592918.2,15.6,4.2,0.1,4.5±0.9,2.64±0.29,2.65±1.37,2.7
J022510.24+593332.4,20,4.1,-0.6,6.0±1.2,3.28±0.29,3.34±1.61,2.88
J022818.61+584949.5,17.9,4.2,-0.5,4.8±1.0,2.87±0.3,2.6±1.36,3.01
J025340.52+565922.2,23,3.9,-0.3,9.1±1.9,3.91±0.3,5.29±2.77,3.69
J030344.23+513940.9,27.1,3.9,-0.8,11.8±2.85,4.33±0.35,6.17±2.9,· · ·
J032451.50+585622.7,21.8,3.9,-0.3,8.0±1.7,3.74±0.3,4.84±2.46,3.26
J034840.79+561837.0,25.7,3.6,-0.8,13.0±4.5,4.52±0.5,8.52±6.13,· · ·
J041110.86+504229.5,31,3.7,-0.5,19.0±6.85,4.89±0.52,8.95±5.51,· · ·
J042911.09+534740.5,21,3.7,-0.1,8.8±2.1,3.95±0.34,6.62±3.28,· · ·
J043001.38+531420.5,24,4.1,-0.7,8.2±1.6,3.74±0.28,3.99±1.91,· · ·
J043638.52+543252.4,21.9,3.7,-0.1,9.4±2.15,4.0±0.33,6.4±3.08,· · ·
J051118.11+393941.7,23.3,3.5,-0.4,12.1±3.4,4.45±0.4,9.51±4.99,· · ·
J051833.69+423747.7,26.3,4,-0.9,10.2±2.25,4.12±0.32,5.11±2.56,· · ·
J052512.84+361921.3,29.2,4.1,-0.7,12.1±2.65,4.24±0.31,4.74±2.28,3.85
J060127.89+230828.1,16.7,4,-0.2,5.1±1.05,2.99±0.29,3.47±1.83,· · ·
J061059.16+115937.4,20.2,4,-0.4,6.6±1.4,3.47±0.3,4.08±2.17,· · ·
J061322.18+230920.1,18.5,4.1,-0.6,5.1±1.05,3.04±0.29,2.98±1.5,· · ·
J061825.41+233415.3,28.3,4.1,-0.2,12.1±2.85,4.15±0.34,4.6±2.28,· · ·
J062522.62+195451.4,22.4,4,-0.4,8.0±1.7,3.73±0.3,4.51±2.24,3.3
J062609.32+195026.9,20.4,4,-0.4,6.7±1.35,3.48±0.29,4.05±2.1,3.23
J063543.80+024240.4,30.9,3.7,-0.4,19.6±7.0,4.95±0.51,9.62±5.61,· · ·
J063801.76+095300.8,17.3,3.8,-0.5,5.4±1.3,3.29±0.34,4.54±2.53,· · ·
J075738.35-071122.1,18.3,4,-0.7,5.2±1.05,3.12±0.29,3.33±1.7,· · ·
J094844.71-024248.9,20.4,3.5,-0.2,9.2±2.45,4.04±0.38,7.8±4.52,· · ·
J151811.89+313849.2,15.2,4.2,-0.5,3.6±0.75,2.45±0.3,2.26±1.21,2.65
J192736.32+414205.5,17.8,3.9,-0.2,5.9±1.2,3.28±0.29,4.21±2.19,3.31
